source_title,cor_section,text
a-legend-of-confucius,2,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the
other kingdoms, and was traveling through the entire empire, he came
to the homeland of Confucius. And he found his grave. And, finding his
grave, he wished to have it opened and see what was in it. All his
officials advised him not to do so, but he would not listen to them.
So a passage was dug into the grave, and in its main chamber they
found a coffin, whose wood appeared to be quite fresh. When struck it
sounded like metal."
a-legend-of-confucius,3,"To the left of the coffin was a door, which led
into an inner chamber. In this chamber stood a bed, and a table with
books and clothing, all as though meant for the use of a living
person. Tsin Schi Huang seated himself on the bed and looked down. And
there on the floor stood two shoes of red silk, whose tips were
adorned with a woven pattern of clouds. A bamboo staff leaned against
the wall. The Emperor, in jest, put on the shoes, took the staff and
left the grave."
a-legend-of-confucius,4,"But as he did so a tablet suddenly appeared before his
eyes on which stood the following lines:

    O'er kingdoms six Tsin Schi Huang his army led,
    To ope my grave and find my humble bed;
    He steals my shoes and takes my staff away
    To reach Schakiu--and his last earthly day!"
a-legend-of-confucius,5,"Tsin Schi Huang was much alarmed, and had the grave closed again. But
when he reached Schakiu he fell ill of a hasty fever of which he died."
a-legend-of-knockmany,1,"It so happened that Finn and his gigantic relatives were all working at
the Giant's Causeway in order to make a bridge, or, what was still
better, a good stout pad-road across to Scotland. Finn, who was
very fond of his wife, Oonagh, took it into his head that he would go
home and see how the poor woman got on in his absence. So accordingly he
pulled up a fir-tree, and after lopping off the roots and branches, made
a walking-stick of it and set out on his way to Oonagh.

Finn lived at this time on Knockmany Hill, which faces Cullamore, that
rises up, half hill, half mountain, on the opposite side.

The truth is that honest Finn's affection for his wife was by no manner
of means the whole cause of his journey home. There was at that time
another giant, named Far Rua--some say he was Irish and some say he was
Scotch--but whether Scotch or Irish, sorrow doubt of it but he was a
targer. No other giant of the day could stand before him. Such
was his strength that, when well vexed, he could give a stamp that shook
the country about him. The fame and name of him went far and near, and
nothing in the shape of a man, it was said, had any chance with him in a
fight. Whether the story is true or not I cannot say, but the report
went that by one blow of his fist he flattened a thunderbolt, and kept
it in his pocket in the shape of a pancake to show to all his enemies
when they were about to fight him."
a-legend-of-knockmany,2,"Undoubtedly he had given every giant
in Ireland a considerable beating, barring Finn M'Coul himself. He
swore that he would never rest night or day, winter or summer, till he
could serve Finn with the same sauce, if he could catch him. Finn,
however, had a strong disinclination to meet a giant who could make a
young earthquake or flatten a thunderbolt when he was angry. Accordingly he kept dodging about from place to place--not much to his
credit as a Trojan, to be sure--whenever he happened to get the hard
word that Far Rua was on the scent of him. And the long and the short of
it was that he heard Far Rua was coming to the Causeway to have a trial
of strength with him. He was, naturally enough, seized in
consequence with a very warm and sudden fit of affection for his wife,
who was delicate in her health, poor woman. She was leading, besides, a very
lonely, uncomfortable life of it in his absence.

""God save all here,"" said Finn good-humouredly, putting his honest face
into his own door.

""Musha, Finn, avick, an' you're welcome to your own Oonagh, you darlin'
bully."" Here followed a smack that it is said to have made the waters of
the lake curl, as it were, with kindness and sympathy."
a-legend-of-knockmany,3,"""Faith,"" said Finn, ""beautiful; and how are you, Oonagh--and how did
you sport your figure during my absence, my bilberry?""

""Never a merrier--as bouncing a grass widow as ever there was in sweet
'Tyrone among the bushes.'""

Finn gave a short, good-humoured cough. He laughed most heartily to
show her how much he was delighted that she made herself happy in his
absence.

""An' what brought you home so soon, Finn?"" said she.

""Why, avourneen,"" said Finn, putting in his answer in the proper way,
""never the thing but the purest of love and affection for yourself.
Sure, you know that's truth, anyhow, Oonagh.""

Finn spent two or three happy days with Oonagh, and felt himself very
comfortable considering the dread he had of Far Rua. This, however, grew
upon him so much that his wife could not but perceive something lay on
his mind which he kept altogether to himself. Let a woman alone in the
meantime for ferreting or wheedling a secret out of her good man when
she wishes. Finn was a proof of this.

""It's this Far Rua,"" said he, ""that's troublin' me. When the fellow gets
angry and begins to stamp he'll shake you a whole townland. It's
well known that he can stop a thunderbolt, for he always carries one
about with him in the shape of a pancake to show to anyone that might
misdoubt it.""

As he spoke he clapped his thumb in his mouth, as he always did when he
wanted to prophesy or to know anything.

""He's coming,"" said Finn. ""I see him below at Dungannon.""

""An' who is it, avick?""

""Far Rua,"" replied Finn, ""and how to manage I don't know. If I run away
I am disgraced, and I know that sooner or later I must meet him, for my
thumb tells me so."""
a-legend-of-knockmany,4,"""When will he be here?"" says she.

""To-morrow, about two o'clock,"" replied Finn with a groan.

""Don't be cast down,"" said Oonagh. ""Depend on me, and, maybe, I'll bring
you out of this scrape better than ever you could bring yourself.""

This quieted Finn's heart very much, for he knew that Oonagh was
hand-and-glove with the fairies. Indeed, to tell the truth, she was
supposed to be a fairy herself. If she was, however, she must have been
a kind-hearted one, for by all accounts she never did anything but good
in the neighbourhood.

Now, it so happened that Oonagh had a sister named Granua living
opposite to them, on the very top of Cullamore, which I have mentioned
already. This Granua was quite as powerful as herself. The beautiful
valley that lies between the Granlisses is not more than three or four
miles broad, so that of a summer evening Granua and Oonagh were able to
hold many an agreeable conversation across it, from one hill-top to the
other. Upon this occasion Oonagh resolved to consult her sister as to
what was best to be done in the difficulty that surrounded them.

""Granua,"" said she, ""are you at home?""

""No,"" said the other, ""I'm picking bilberries at Althadhawan"" (the
Devil's Glen).

""Well,"" said Oonagh, ""go up to the top of Cullamore, look about you, and
then tell us what you see.""

""Very well,"" replied Granua, after a few minutes; ""I am there now.""

""What do you see?"" asked the other.

""Goodness be about us!"" exclaimed Granua, ""I see the biggest giant that
ever was known coming up from Dungannon.""

""Ay,"" said Oonagh, ""there's our difficulty. That's Far Rua, and he's
comin' up now to leather Finn. What's to be done?"""
a-legend-of-knockmany,5,"""I'll call to him,"" she replied, ""to come up to Cullamore and refresh
himself, and maybe that will give you and Finn time to think of some
plan to get yourselves out of the scrape. But,"" she proceeded, ""I'm
short of butter, having in the house only half a dozen firkins, and as
I'm to have a few giants and giantesses to spend the evenin' with me I'd
feel thankful, Oonagh, if you'd throw me up fifteen or sixteen tubs, or
the largest miscaun you've got, and you'll oblige me very much.""

""I'll do that with a heart and a half,"" replied Oonagh; ""and, indeed,
Granua, I feel myself under great obligations to you for your kindness
in keeping him off us till we see what can be done; for what would
become of us all if anything happened to Finn, poor man!""

She accordingly got the largest miscaun of butter she had--which might
be about the weight of a couple of dozen millstones, so that you can
easily judge of its size--and calling up her sister, ""Granua,"" says she,
""are you ready? I'm going to throw you up a miscaun, so be prepared to
catch it.""

""I will,"" said the other. ""A good throw, now, and take care it does not
fall short.""

Oonagh threw it, but in consequence of her anxiety about Finn and Far
Rua she forgot to say the charm that was to send it up, so that instead
of reaching Cullamore, as she expected, it fell about half-way between
the two hills at the edge of the Broad Bog, near Augher."
a-legend-of-knockmany,6,"""My curse upon you!"" she exclaimed, ""you've disgraced me. I now change
you into a grey stone. Lie there as a testimony of what has happened,
and may evil betide the first living man that will ever attempt to move
or injure you!""

And, sure enough, there it lies to this day, with the mark of the four
fingers and thumb imprinted on it, exactly as it came out of her hand.

""Never mind,"" said Granua, ""I must only do the best I can with Far Rua.
If all fail, I'll give him a cast of heather broth, or a panada of oak
bark. But, above all things, think of some plan to get Finn out of the
scrape he's in, or he's a lost man. You know you used to be sharp and
ready-witted; and my own opinion is, Oonagh, that it will go hard with
you, or you'll outdo Far Rua yet.""

She then made a high smoke on the top of the hill, after which she put
her finger in her mouth and gave three whistles, and by that Far Rua
knew that he was invited to the top of Cullamore--for this was the way
that the Irish long ago gave a sign to all strangers and travellers to
let them know they are welcome to come and take share of whatever was
going."
a-legend-of-knockmany,7,"In the meantime Finn was very melancholy, and did not know what to do,
or how to act at all. Far Rua was an ugly customer, no doubt, to meet
with; and, moreover, the idea of the confounded ""cake"" aforesaid
flattened the very heart within him. What chance could he have, strong
and brave as he was, with a man who could, when put in a passion, walk
the country into earthquakes and knock thunderbolts into pancakes? The
thing was impossible, and Finn knew not on what hand to turn him. Right
or left, backward or forward, where to go he could form no guess
whatever.

""Oonagh,"" said he, ""can you do anything for me? Where's all your
invention? Am I to be skivered like a rabbit before your eyes and to
have my name disgraced for ever in the sight of all my tribe, and me the
best man among them? How am I to fight this man-mountain--this huge
cross between an earthquake and a thunderbolt--with a pancake in his
pocket that was once----?""

""Be aisy, Finn,"" replied Oonagh. ""Troth, I'm ashamed of you. Keep your
toe in your pump, will you? Talking of pancakes, maybe we'll give him as
good as any he brings with him--thunderbolts or otherwise. If I don't
treat him to as smart feeding as he's got this many a day, don't trust
Oonagh again. Leave him to me, and do just as I bid you."""
a-legend-of-knockmany,8,"This relieved Finn very much, for, after all, he had great confidence in
his wife, knowing, as he did, that she had got him out of many a
quandary before. The present, however, was the greatest of all; but,
still, he began to get courage and to eat his victuals as usual. Oonagh
then drew the nine woollen threads of different colours, which she
always did to find out the best way of succeeding in anything of
importance she went about. She then plaited them into three plaits, with
three colours in each, putting one on her right arm, one round her
heart, and the third round her right ankle, for then she knew that
nothing could fail her that she undertook.

Having everything now prepared, she sent round to the neighbours and
borrowed one-and-twenty iron griddles, which she took and kneaded into
the hearts of one-and-twenty cakes of bread, and these she baked on the
fire in the usual way, setting them aside in the cupboard according as
they were done. She then put down a large pot of new milk, which she
made into curds and whey, and gave Finn due instructions how to use the
curds when Far Rua should come. Having done all this, she sat down quite
contented waiting for his arrival on the next day about two o'clock,
that being the hour at which he was expected--for Finn knew as much by
the sucking of his thumb. Now, this was a curious property that Finn's
thumb had; but notwithstanding all the wisdom and logic he used to suck
out of it, it could never have stood to him here were it not for the wit
of his wife. In this very thing, moreover, he was very much resembled by
his great foe, Far Rua; for it was well known that the huge strength
that he possessed all lay in the middle finger of his right hand, and
that if he happened by any chance to lose it, he was no more,
notwithstanding his bulk, than a common man."
a-legend-of-knockmany,9,"At length the next day he was seen coming across the valley, and Oonagh
knew that it was time to commence operations. She immediately made the
cradle, and desired Finn to lie down in it and cover himself up with the
clothes.

""You must pass for your own child,"" said she, ""so just lie there snug
and say nothing, but be guided by me."" This, to be sure, was wormwood to
Finn--I mean going into the cradle in such a cowardly manner--but he
knew Oonagh very well; and finding that he had nothing else for it, with
a very rueful face he gathered himself into it and lay snug, as she had
desired him.

About two o'clock, as he had been expected, Far Rua came in. ""God save
all here!"" said he. ""Is this where the great Finn M'Coul lives?""

""Indeed it is, honest man,"" replied Oonagh. ""God save you kindly--won't
you be sitting?""

""Thank you, ma'am,"" says he, sitting down. ""You're Mrs. M'Coul, I
suppose?""

""I am,"" says she, ""and I have no reason, I hope, to be ashamed of my
husband.""

""No,"" said the other; ""he has the name of being the strongest and
bravest man in Ireland. But, for all that, there's a man not far from
you that's very anxious of taking a shake with him. Is he at home?""

""Why, no, then,"" she replied; ""and if ever a man left in a fury he did.
It appears that someone told him of a big bosthoon of a giant called Far
Rua being down at the Causeway to look for him, and so he set out there
to try if he could catch him. Troth, I hope, for the poor giant's sake,
he won't meet with him, for if he does Finn will make paste of him at
once.""

""Well,"" said the other, ""I am Far Rua, and I have been seeking him these
twelve minths, but he always kept clear of me; and I will never rest day
or night till I lay my hands on him."""
a-legend-of-knockmany,10,"At this Oonagh set up a loud laugh of great contempt, by the way, and
looked at him as if he were only a mere handful of a man.

""Did you ever see Finn?"" said she, changing her manner all at once.

""How could I?"" said he. ""He always took care to keep his distance.""

""I thought so,"" she replied. ""I judged as much; and if you take my
advice, you poor-looking creature, you'll pray night and day that you
may never see him, for I tell you it will be a black day for you when
you do. But, in the meantime, you perceive that the wind's on the door,
and as Finn himself is far from home, maybe you'd be civil enough to
turn the house, for it's always what Finn does when he's here.""

This was a startler, even to Far Rua; but he got up, however, and after
pulling the middle finger of his right hand until it cracked three
times, he went outside, and getting his arms about the house, completely
turned it as she had wished. When Finn saw this he felt a certain
description of moisture, which shall be nameless, oozing out through
every pore of his skin; but Oonagh, depending upon her woman's wit, felt
not a whit daunted.

""Arrah, then,"" said she, ""as you're so civil, maybe you'd do another
obliging turn for us, as Finn's not here to do it himself. You see,
after this long stretch of dry weather that we've had, we feel very
badly off for want of water. Now, Finn says there's a fine spring well
somewhere under the rocks behind the hill there below, and it was his
intention to pull them asunder; but having heard of you he left the
place in such a fury that he never thought of it. Now, if you try to
find it, troth, I'd feel it a kindness."""
a-legend-of-knockmany,11,"She then brought Far Rua down to see the place, which was then all one
solid rock; and after looking at it for some time, he cracked his right
middle finger nine times, and, stooping down, tore a cleft about four
hundred feet deep and a quarter of a mile in length, which has since
been christened by the name of Lumford's Glen. This feat nearly threw
Oonagh herself off her guard; but what won't a woman's sagacity and
presence of mind accomplish?

""You'll now come in,"" said she, ""and eat a bit of such humble fare as we
can give. Finn, even though you and he were enemies, would scorn not to
treat you kindly in his own house; and, indeed, if I didn't do it even
in his absence, he would not be pleased with me.""

She accordingly brought him in, and placing half a dozen of the cakes we
spoke of before him, together with a can or two of butter, a side of
boiled bacon, and a stack of cabbage, she desired him to help
himself--for this, be it known, was long before the invention of
potatoes. Far Rua, who, by the way, was a glutton as well as a hero, put
one of the cakes in his mouth to take a huge whack out of it, when both
Finn and Oonagh were stunned with a noise that resembled something
between a growl and a yell. ""Blood and fury!"" he shouted out. ""How is
this? Here are two of my teeth out! What kind of bread is this you gave
me?""

""What's the matter?"" said Oonagh coolly.

""Matter!"" shouted the other. ""Why, here are two of the best teeth in my
head gone."""
a-legend-of-knockmany,12,"""Why,"" said she, ""that's Finn's bread--the only bread he ever eats when
at home; but, indeed, I forgot to tell you that nobody can eat it but
himself and that child in the cradle there. I thought, however, that as
you were reported to be rather a stout little fellow of your size you
might be able to manage it, and I did not wish to affront a man that
thinks himself able to fight Finn. Here's another cake--maybe it's not
so hard as that.""

Far Rua, at the moment, was not only hungry, but ravenous, so he
accordingly made a fresh set at the second cake, and immediately another
yell was heard twice as loud as the first. ""Thunder and giblets!"" he
roared, ""take your bread out of this, or I will not have a tooth in my
head; there's another pair of them gone.""

""Well, honest man,"" replied Oonagh, ""if you're not able to eat the bread
say so quietly, and don't be awakening the child in the cradle there.
There, now, he's awake upon me!""

Finn now gave a skirl that frightened the giant, as coming from such a
youngster as he was represented to be. ""Mother,"" said he, ""I'm
hungry--get me something to eat."" Oonagh went over, and putting into
his hand a cake that had no griddle in it--Finn, whose appetite in the
meantime was sharpened by what he saw going forward, soon made it
disappear. Far Rua was thunderstruck, and secretly thanked his stars
that he had the good fortune to miss meeting Finn, for, as he said to
himself, I'd have no chance with a man who could eat such bread as that,
which even his son that's in the cradle can munch before my eyes.

""I'd like to take a glimpse at the lad in the cradle,"" said he to
Oonagh, ""for I can tell you that the infant who can manage that
nutriment is no joke to look at or to feed of a scarce summer."""
a-legend-of-knockmany,13,"""With all the veins of my heart,"" replied Oonagh. ""Get up, acushla, and
show this decent little man something that won't be unworthy of your
father, Finn M'Coul.""

Finn, who was dressed for the occasion as much like a boy as possible,
got up, and bringing Far Rua out, ""Are you strong?"" said he.

""Thunder and ounze!"" exclaimed the other, ""what a voice in so small a
chap!""

""Are you strong?"" said Finn again. ""Are you able to squeeze water out of
that white stone?"" he asked, putting one into Far Rua's hand. The latter
squeezed and squeezed the stone, but to no purpose; he might pull the
rocks of Lumford's Glen asunder, and flatten a thunderbolt, but to
squeeze water out of a white stone was beyond his strength. Finn eyed
him with great contempt as he kept straining and squeezing and squeezing
and straining till he got black in the face with the efforts.

""Ah, you're a poor creature,"" said Finn. ""You a giant! Give me the stone
here, and when I'll show what Finn's little son can do you may then
judge of what my daddy himself is.""

Finn then took the stone, and then, slyly exchanging it for the curds,
he squeezed the latter until the whey, as clear as water, oozed out in a
little shower from his hand.

""I'll now go in,"" said he, ""to my cradle; for I scorn to lose my time
with anyone that's not able to eat my daddy's bread, or squeeze water
out of a stone. Bedad, you had better be off out of this before he comes
back, for if he catches you, it's in flummery he'd have you in two
minutes."""
a-legend-of-knockmany,14,"Far Rua, seeing what he had seen, was of the same opinion himself; his
knees knocked together with the terror of Finn's return, and he
accordingly hastened in to bid Oonagh farewell, and to assure her that,
from that day out, he never wished to hear of, much less to see, her
husband. ""I admit fairly that I'm not a match for him,"" said he, ""strong
as I am. Tell him I will avoid him as I would the plague, and that I
will make myself scarce in this part of the country while I live.""

Finn, in the meantime, had gone into the cradle, where he lay very
quietly, his heart in his mouth with delight that Far Rua was about to
take his departure without discovering the tricks that been played off
on him.

""It's well for you,"" said Oonagh, ""that he doesn't happen to be here,
for it's nothing but hawk's meat he'd make of you.""

""I know that,"" said Far Rua, ""divel a thing else he'd make of me; but,
before I go, will you let me feel what kind of teeth they are that can
eat griddle-cakes like that?"" and he pointed to it as he spoke.

""With all the pleasure in life,"" says she; ""only as they're far back in
his head you must put your finger a good way in.""

Far Rua was surprised to find so powerful a set of grinders in one so
young; but he was still much more so on finding, when he took his hand
from Finn's mouth, that he had left the very finger upon which his whole
strength depended behind him. He gave one loud groan and fell down at
once with terror and weakness. This was all Finn wanted, who now knew
that his most powerful and bitterest enemy was completely at his mercy.
He instantly started out of the cradle, and in a few minutes the great
Far Rua, that was for such a length of time the terror of him and all
his followers, was no more."
a-lost-paradise,1,"In the middle of a great forest there lived a long time ago a
charcoal-burner and his wife. They were both young and handsome and
strong. When they got married, they thought work would never fail
them. But bad times came, and they grew poorer and poorer. The
nights in which they went hungry to bed became more and more frequent.

Now one evening the king of that country was hunting near the
charcoal-burner's hut. As he passed the door, he heard a sound of
sobbing. Being a good-natured man he stopped to listen, thinking
that perhaps he might be able to give some help.

'Were there ever two people so unhappy!' said a woman's voice. 'Here we
are, ready to work like slaves the whole day long, and no work can we
get. And it is all because of the curiosity of old mother Eve! If she
had only been like me, who never want to know anything. We should all
have been as happy as kings to-day, with plenty to eat, and warm
clothes to wear. Why--' but at this point a loud knock interrupted her
lamentations."
a-lost-paradise,2,"'Who is there?' asked she.

'I!' replied somebody.

'And who is ""I""?'

'The king. Let me in.'

Full of surprise the woman jumped up and pulled the bar away from the
door. As the king entered, he noticed that there was no furniture in
the room at all, not even a chair. He pretended to be in too great
a hurry to see anything around him, and only said 'You must not let me
disturb you. I have no time to stay, but you seemed to be in trouble.
Tell me; are you very unhappy?'

'Oh, my lord, we can find no work and have eaten nothing for two days!'
answered she. 'Nothing remains for us but to die of hunger.'

'No, no, you shan't do that,' cried the king, 'or if you do, it will be
your own fault. You shall come with me into my palace. You will feel
as if you were in Paradise, I promise you. In return, I only ask one
thing of you, that you shall obey my orders exactly.'"
a-lost-paradise,3,"The charcoal-burner and his wife both stared at him for a moment, as
if they could hardly believe their ears. Indeed, it was not to be
wondered at! Then they found their tongues, and exclaimed together:

'Oh, yes, yes, my lord! we will do everything you tell us. How could we
be so ungrateful as to disobey you, when you are so kind?'

The king smiled, and his eyes twinkled.

'Well, let us start at once,' said he. 'Lock your door, and put the key
in your pocket.'

The woman looked as if she thought this was needless, seeing it was
quite, quite certain they would never come back. But she dared not say
so, and did as the king told her.

After walking through the forest for a couple of miles, they all
three reached the palace. By the king's orders, servants led the
charcoal-burner and his wife into rooms filled with beautiful things
such as they had never even dreamed of. First, they bathed in green
marble baths where the water looked like the sea. Then, they put on
silken clothes that felt soft and pleasant. When they were ready, one
of the king's special servants entered, and took them into a small hall,
where dinner was laid. This pleased them better than anything else."
a-lost-paradise,4,"They were just about to sit down to the table when the king walked in.

'I hope you have been attended to properly,' said he, 'and that you will
enjoy your dinner. My steward will take care you have all you want.
I wish you to do exactly as you please. Oh, by the bye, there is one
thing! You notice that soup-tureen in the middle of the table? Well, be
careful on no account to lift the lid. If once you take off the cover,
there is an end of your good fortune.' Then, bowing to his guests, he
left the room.

'Did you hear what he said?' inquired the charcoal-burner in an
awe-stricken voice. 'We are to have what we want, and do what we please.
Only we must not touch the soup-tureen.'

'No, of course we won't,' answered the wife. 'Why should we wish to?
But all the same it is rather odd. One can't help wondering what is
inside.'"
a-lost-paradise,5,"For many days life went on like a beautiful dream to the
charcoal-burner and his wife. Their beds were so comfortable, they could
hardly make up their minds to get up, and their clothes were so lovely they
could scarcely bring themselves to take them off. Their dinners were so
good that they found it very difficult to leave off eating. Then outside
the palace were gardens filled with rare flowers and fruits and singing
birds. If they desired to go further, a golden coach, painted with
wreaths of forget-me-nots and lined with blue satin, awaited their
orders. Sometimes it happened that the king came to see them. He
smiled as he glanced at the man, who was getting rosier and plumper each
day. But when his eyes rested on the woman, they took on a look which
seemed to say 'I knew it,' though this neither the charcoal-burner nor
his wife ever noticed.

'Why are you so silent?' asked the man one morning when dinner had
passed before his wife had uttered one word. 'A little while ago you
used to be chattering all the day long. Now I have almost forgotten
the sound of your voice.'"
